,Artist ID,Artist name,Album ID,Album name,Album release date,Track ID,Track name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
27,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,55jDbaopuANFZXzd7N6U8H,Jee Karda,0.854,0.847,-4.616,1,0.0451,0.125,0.000124,0.0512,0.845,120.006,291082,4
28,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,3C1Jq6H6QqUJQs1rZDugZ1,Murshida,0.329,0.432,-6.562,1,0.0307,0.733,0,0.295,0.496,80.902,325908,4
29,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,2d6xVFDCqCGWKPAUBUId9J,Khul Kabhi Toh,0.403,0.43,-9.598,0,0.0303,0.35,0.00281,0.0703,0.0961,139.945,368759,4
30,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,37BChk6eGToprJxDff2VjY,Adhoora,0.536,0.419,-11.078,1,0.0282,0.382,4.29e-05,0.114,0.224,110.021,187500,4
31,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,7fUMIEn7H6OYDOMQRMm1at,"Galti Se Mistake (From ""Jagga Jasoos"")",0.44,0.797,-4.395,0,0.224,0.0173,0,0.164,0.708,195.057,203077,3
32,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,5VAkPCJTE6tbyReo9J4IQj,"Main Tera Boyfriend (From ""Raabta"")",0.84,0.914,-3.916,0,0.0613,0.0958,0,0.115,0.651,104.019,276153,4
33,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,0R5invf0xH2NTXVnloNRjb,"Palat - Tera Hero Idhar Hai (From ""Main Tera Hero"")",0.411,0.729,-4.738,0,0.0983,0.132,0,0.177,0.498,96.053,270676,3
34,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,6qElTDh0OatDTUoROu0vup,"Chal Wahan Jaate Hain (From ""Chal Wahan Jaate Hain"")",0.51,0.612,-7.629,0,0.0372,0.412,1.58e-05,0.156,0.193,150.041,326121,4
35,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,7IIhqqpytErf6d4xMQ7JEB,"Shanivaar Raati (From ""Main Tera Hero"")",0.684,0.892,-4.427,0,0.0395,0.0307,3.51e-06,0.0833,0.721,132.007,261062,4
36,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,7kSY0fqrPep5vcwOb1juye,Groove With Arijit Singh,2019-05-22,5HcBFhFQEtqKrsRkr95XYu,"Sooraj Dooba Hain (From ""Roy"")",0.616,0.75,-4.629,1,0.0594,0.172,0,0.137,0.434,128.051,264854,4
